delay	freq	condition	textbox.text				
0.7	400	exp	500				
0.7	1000	exp	400				
0.4	1000	exp	600				
0.1	1000	exp	200				
0.1	1000	exp	300				
0.4	1000	exp	900				
0.1	400	exp	500				
0.4	400	exp	500				
0.1	1000	exp	1000				
0.7	1000	exp	850				
0.1	400	exp	450				
0.1	1000	exp	2500				
0.7	400	exp	400				
0.7	1000	exp	500				
0.4	1000	exp	3000				
0.7	1000	exp	4500				
0.4	400	exp	650				
0.4	1000	exp	800			mean	
0.1	1000	exp	600			exp	919.6428571
0.1	1000	exp	600			unexp	873.6666667
0.4	1000	exp	800			difference	45.97619048
0.1	1000	exp	600				
0.1	400	exp	700				
0.7	1000	exp	1200				
0.4	1000	exp	690				
0.7	1000	exp	1500				
0.7	400	exp	460				
0.1	1000	exp	520				
0.4	400	exp	460				
0.1	1000	exp	860				
0.1	1000	exp	640				
0.1	1000	exp	650				
0.4	1000	exp	960				
0.1	1000	exp	790				
0.4	400	exp	740				
0.4	1000	exp	1600				
0.7	1000	exp	650				
0.7	1000	exp	1450				
0.1	400	exp	780				
0.7	400	exp	780				
0.1	1000	exp	980				
0.4	1000	exp	780				
0.7	1000	exp	900				
0.7	400	exp	890				
0.4	1000	exp	690				
0.1	400	exp	850				
0.7	1000	exp	780				
0.4	400	exp	890				
0.1	1000	exp	850				
0.1	1000	exp	780				
0.7	1000	exp	640				
0.1	1000	exp	900				
0.4	400	exp	1520				
0.1	400	exp	1300				
0.4	1000	exp	960				
0.1	1000	exp	950				
0.7	400	exp	650				
0.7	1000	exp	690				
0.4	1000	exp	950				
0.1	1000	exp	1200				
0.7	1000	exp	1320				
0.4	400	exp	980				
0.7	1000	exp	860				
0.1	400	exp	1200				
0.4	1000	exp	930				
0.1	1000	exp	1420				
0.4	1000	exp	690				
0.1	1000	exp	590				
0.1	1000	exp	790				
0.7	400	exp	865				
0.4	400	unexp	400				
0.1	1000	unexp	600				
0.4	1000	unexp	400				
0.1	400	unexp	450				
0.1	1000	unexp	600				
0.7	1000	unexp	2300				
0.1	1000	unexp	1200				
0.7	1000	unexp	900				
0.7	400	unexp	600				
0.4	1000	unexp	1300				
0.1	400	unexp	600				
0.1	1000	unexp	850				
0.7	400	unexp	690				
0.4	1000	unexp	800				
0.4	400	unexp	860				
0.7	1000	unexp	840				
0.1	1000	unexp	760				
0.4	1000	unexp	690				
0.1	1000	unexp	780				
0.7	1000	unexp	1500				
0.1	1000	unexp	1300				
0.1	1000	unexp	690				
0.4	1000	unexp	890				
0.7	1000	unexp	1340				
0.7	400	unexp	1250				
0.7	1000	unexp	840				
0.4	1000	unexp	780				
0.1	1000	unexp	360				
0.1	400	unexp	850				
0.4	400	unexp	790				
